Line,level,category,Note,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
217,3,    Nondurable goods,,198.3,208.2,220.6,237.3,248.2,262.8,278.8,284.6,298.8,330.3,379.5,463.3,490.8,549.3,615.4,670.1,769.1,870,950.9,943.5,971.4,1030,1029.5,994.5,1113.2,1205.2,1292.6,1350.4,1352.8,1390.4,1422.2,1486.6,1595.4,1636.7,1708.1
218,3,      Value added,,64.1,68.2,73.5,80.6,82.8,90.3,94.5,98.1,103.6,111.4,119.2,128,141.2,159.2,176.4,189.5,216.5,226.7,252.3,257.7,283.7,294.4,308.4,323.7,346.3,379.9,408.1,431.7,445.5,466.8,479.7,502.1,531.6,533.4,559.1
219,3,        Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,194.5,206.9,217.3,226.1,233.2,246.2,251.4,257.5,261.5,264.9,274.4
220,3,        Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,17.3,17.9,19.3,23.3,24.5,24.7,25.3,25.7,25.5,25.8
221,3,        Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,135.2,155.7,172.9,186.4,189.1,196.1,203.6,219.3,244.4,243,259
222,3,      Intermediate inputs,,134.2,140,147.1,156.7,165.5,172.4,184.3,186.6,195.2,218.9,260.4,335.3,349.6,390.2,439,480.5,552.6,643.3,698.6,685.8,687.7,735.6,721.2,670.9,766.9,825.3,884.5,918.7,907.2,923.6,942.4,984.5,1063.8,1103.2,1149
223,3,        Energy inputs,,2.9,3,3.1,3.2,3.5,3.9,4.2,4.7,5.2,6,7.2,11.1,12.8,14.6,16.7,18.8,24.3,27.9,32.6,34,34.4,34.4,30.1,24.8,28.1,29.1,31,31.8,31.4,30.8,30.3,30.2,31.5,31.7,33.7
224,3,        Materials inputs,,116.5,120.6,126.5,134.1,140.6,144.9,155.1,156.6,163.1,184,219.2,283.6,289.5,328.1,369.9,401.9,457.5,547.3,588.5,567,560.5,597.9,589,538.3,625.6,665.2,707.4,733.3,715,723.6,744,785.2,858.3,893.4,921.5
225,3,        Purchased-services inputs,,14.8,16.4,17.5,19.3,21.4,23.6,24.9,25.4,26.8,29,34,40.6,47.2,47.5,52.4,59.9,70.8,68.1,77.5,84.8,92.8,103.4,102.2,107.8,113.2,131,146.2,153.6,160.8,169.3,168.2,169.1,173.9,178.1,193.8
226,4,      Food and beverage and tobacco products,,76.1,79.2,81.7,87.3,91.5,94.7,100.7,106,110.9,122.6,142.6,168.5,178.1,186.1,196.5,219.8,239.9,261.7,279.5,290,298,313.5,317.1,324.1,348.1,375.2,404.8,420.3,431.5,445.2,455.3,468.3,491,508.8,531.8
227,4,        Value added,,21.8,22.8,23.7,25.5,26.1,27.4,28.3,30.6,32.3,32.2,32,35.4,44.1,46,49.2,51.2,54.1,61.1,66.6,72.3,79.1,79.8,83.7,88.2,90.9,94.8,100.6,111.4,118.5,123.6,122.7,123.5,136.5,130.9,135.2
228,4,          Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,45.1,47.1,49,51.7,53.9,56,57.1,58.4,59.2,60.5,62.6
229,4,          Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,11.1,11.2,11.4,14.4,15.1,15.2,15,15.6,15.6,15.6
230,4,          Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,34.6,36.6,40.5,48.4,50.2,52.5,50.4,50.2,61.7,54.8,57
231,4,        Intermediate inputs,,54.4,56.3,58,61.8,65.4,67.3,72.3,75.4,78.6,90.3,110.7,133.1,134,140.1,147.3,168.6,185.8,200.5,212.9,217.8,218.9,233.7,233.3,235.9,257.2,280.4,304.2,308.8,313,321.6,332.7,344.7,354.5,377.9,396.6
232,4,          Energy inputs,,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.9,1,1.5,1.8,1.9,2.1,2.5,3.1,3.3,4.2,4.9,4.8,4.8,4.3,3.8,4,4.3,4.8,5,5.1,5.4,5.6,5.7,5.6,5.9,6.8
233,4,          Materials inputs,,49.3,50.6,51.8,55.1,58,58.8,63.9,66.7,69.5,80.8,100.3,120.1,117.6,124.2,129.4,148.4,162.4,178.2,185.8,186.3,186.6,198.1,197.6,198.1,219.4,236.6,253,254.7,255.5,259.8,271.1,284.5,296.5,318.4,332.5
234,4,          Purchased-services inputs,,4.8,5.4,5.8,6.3,6.9,7.9,7.8,8,8.3,8.6,9.4,11.5,14.6,14,15.8,17.6,20.4,19,22.9,26.5,27.5,30.8,31.4,34,33.8,39.5,46.4,49.2,52.4,56.5,56,54.5,52.3,53.5,57.3
235,4,      Textile mills and textile product mills,,17.8,19.2,20.5,21.9,22.3,24.3,25.1,24.5,26.1,30.3,34,36.2,34.5,40.9,46.2,47.4,50,51.3,54.1,50.4,56.7,59,56.4,58.5,67.7,70.8,73.5,71.7,71.8,76.8,80.3,84.9,86.2,85.9,89.1
236,4,        Value added,,5.2,5.8,6.5,7.1,7.1,7.9,8.4,8.6,8.8,9.7,10.3,10.8,10.4,12,13.4,14.4,15.2,15.1,16.2,15.4,17.7,18.3,18.2,19.9,21.1,22,23,23.4,23.9,26.7,27,27.1,26.2,26.6,27.4
237,4,          Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,16.3,17.2,18,17.7,18,19.1,19.7,20.3,19.9,19.6,20.3
238,4,          Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7
239,4,          Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,4.4,4.5,5.2,5.4,7,6.7,6.2,5.7,6.4,6.4
240,4,        Intermediate inputs,,12.6,13.4,14,14.8,15.1,16.4,16.7,15.9,17.3,20.5,23.7,25.5,24.1,28.9,32.8,32.9,34.7,36.2,37.9,35,39,40.7,38.2,38.7,46.5,48.7,50.5,48.3,48,50.1,53.3,57.8,60,59.3,61.7
241,4,          Energy inputs,,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.1,1.2,1.5,1.5,1.8,1.8,2,2.1,1.8,1.5,1.9,1.9,2.1,2,2,2.1,2.1,2,1.8,1.7,1.8
242,4,          Materials inputs,,11.6,12.2,12.7,13.5,13.6,14.6,14.8,14,15.1,17.9,20.5,22,20.3,24.7,28.1,27.7,28.5,30.4,31.2,28.3,31.3,32.4,30.8,31.1,38.4,40.1,41.4,39.5,39.3,41,44.1,48.4,50.8,50.4,52.1
243,4,          Purchased-services inputs,,0.9,1,1,1.1,1.3,1.5,1.6,1.6,1.8,2.2,2.6,2.8,3,3.2,3.7,4,4.7,4.2,4.8,4.9,5.6,6.2,5.6,6,6.3,6.7,7,6.7,6.7,7,7.1,7.4,7.3,7.2,7.9
244,4,      Apparel and leather and allied products,,21.9,22.9,24.2,25.4,26.7,28.5,30.2,29.5,30.9,32.3,34.3,34.9,35.7,39.1,43.7,46.5,47.4,51.3,55.3,57.7,59.9,61,59.8,59.7,66.5,68.8,67.6,68.5,69.9,74.6,77.9,81.5,82.9,83.6,87.2
245,4,        Value added,,6.7,7.1,7.7,8.5,8.8,9.6,10,10.1,10.3,11.2,11.9,12,12.5,14.3,16,17.5,18.7,19.4,21.1,20.8,22.3,22.2,21.9,22.6,22.8,23.7,24.8,25.2,26,27.6,27.6,28,26.8,25.9,25.2
246,4,          Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,18.5,18.8,18.9,19.3,20.2,20.3,20.3,19.6,18.9,18.1
247,4,          Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3
248,4,          Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,5,5.1,5.8,6,6.5,7.2,7,7.4,6.9,6.7,6.8
249,4,        Intermediate inputs,,15.1,15.8,16.4,16.9,17.8,18.9,20.2,19.4,20.6,21,22.4,22.9,23.2,24.8,27.7,28.9,28.8,31.9,34.2,36.9,37.6,38.9,37.9,37.1,43.7,45.1,42.8,43.3,43.8,47,50.3,53.5,56.1,57.7,62
250,4,          Energy inputs,,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.4,0.5,0.5,0.8,0.7,0.9,1,1,1,0.9,0.7,0.7,0.8,0.9,0.9,0.9,0.9,1,1,1,1,1.2
251,4,          Materials inputs,,13.8,14.3,15,15.2,16,16.8,17.8,17,17.8,18.3,18.9,19.2,18.6,20.8,23.5,24,22.8,27.2,28.6,30.4,30.8,31.7,31.3,30.2,37.5,37.3,34,33.8,33.9,36.1,38.8,41.4,44.1,44.6,46.7
252,4,          Purchased-services inputs,,1.2,1.4,1.4,1.5,1.7,2,2.3,2.2,2.6,2.6,3.2,3.3,4.2,3.6,3.8,4.4,5.2,3.9,4.7,5.5,5.8,6.2,5.8,6.2,5.5,7,7.9,8.6,9,9.9,10.5,11.1,11.1,12.1,14.2
253,4,      Paper products,,16.4,17.2,18.6,20.4,21.2,22.4,24.7,25.1,25.6,28.4,32.6,40.3,41.5,47.4,52.1,57,63.9,70.3,76.8,78.5,82.8,91.6,91.4,95.9,104.1,117.6,126.2,126.5,124.5,126.2,126.2,136,166,152.7,149.2
254,4,        Value added,,6.4,6.9,7.4,8.3,8.4,9.1,9.9,10,10.2,11.5,13.1,14.4,14.3,17.2,18.6,20.3,22.9,24,26.2,27.6,29.2,32.8,34.1,36.2,39.3,45.5,48.1,47.3,46.8,47.7,48.8,52,62.4,58.4,55.4
255,4,          Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,23,24.3,25.6,26.5,27.2,28.8,29.3,29.9,31,31,31.7
256,4,          Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.9,1,1.2,1.3,1.4,1.4,1.5,1.5,1.6,1.7
257,4,          Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,20.2,21.5,19.7,18.3,17.6,18.1,20.6,29.9,25.7,22
258,4,        Intermediate inputs,,10,10.3,11.2,12.1,12.8,13.3,14.8,15.2,15.4,16.9,19.5,25.9,27.1,30.2,33.5,36.8,41,46.4,50.6,50.9,53.7,58.8,57.3,59.6,64.9,72.1,78,79.2,77.7,78.6,77.4,84,103.6,94.4,93.9
259,4,          Energy inputs,,0.5,0.5,0.6,0.6,0.6,0.7,0.8,1,1,1.2,1.4,2.3,2.6,2.9,3.3,3.7,4.7,5.7,6.6,6.8,6.7,6.8,6,5.2,5.3,5.4,5.9,6.1,5.9,5.9,5.5,5.5,6,5.3,5.5
260,4,          Materials inputs,,8.5,8.7,9.4,10.1,10.6,10.9,12,12.2,12.2,13.4,15.5,20.5,20.9,23.8,26.4,28.7,31.4,35.7,38.5,38.2,40,43.8,42.9,45.2,49.2,55.5,60.2,61,59.9,60.6,60.1,65.8,82.8,74.9,73.2
261,4,          Purchased-services inputs,,1,1.1,1.2,1.4,1.6,1.7,1.9,2.1,2.1,2.3,2.7,3.2,3.6,3.5,3.8,4.4,4.9,5,5.4,5.9,6.9,8.1,8.4,9.2,10.3,11.2,12,12.1,11.9,12.1,11.8,12.7,14.8,14.2,15.1
262,4,      Printing and related support activities,,7.5,7.9,8.7,9.4,10,10.8,11.8,12.3,12.6,14.3,15.8,17.6,18.6,21,24.4,27.5,30.8,34.1,38,42.6,45.7,51.5,54.8,57.8,66.4,70.8,74.4,78.4,76.8,81.4,83.2,85.6,92.6,95.9,98.4
263,4,        Value added,,3.4,3.7,4,4.4,4.6,5,5.4,5.6,5.9,6.4,7,7.2,8,8.8,10.4,11.8,13.7,13.9,15.5,16.9,18.8,21.3,23.3,24.9,26.4,28.5,30.4,31.7,31.7,33.9,33.8,35.1,35.7,37.3,37.4
264,4,          Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,23.9,24.9,26.5,26.5,28.2,28.6,29.5,30.7,31.2,32.1
265,4,          Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6
266,4,          Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,4.3,5.1,4.8,4.7,5.2,4.7,5,4.3,5.4,4.7
267,4,        Intermediate inputs,,4.1,4.2,4.6,5,5.4,5.8,6.4,6.7,6.7,7.9,8.8,10.4,10.6,12.2,13.9,15.6,17,20.2,22.4,25.7,26.9,30.3,31.5,32.9,40,42.2,44,46.7,45.1,47.5,49.5,50.5,57,58.6,60.9
268,4,          Energy inputs,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.8,0.8,0.7,0.9,0.9,1,1.1,1.1,1.2,1.1,1.1,1.1,1.1,0.9
269,4,          Materials inputs,,3.2,3.2,3.6,3.9,4.3,4.5,4.9,5.1,5.1,6,6.7,8,8,9.5,10.9,12.1,13.1,15.8,17.5,19.7,20.3,22.8,23.7,24.5,30,32.2,33.8,36,35,37.2,39,40.3,46.4,47.5,49.1
270,4,          Purchased-services inputs,,0.9,0.9,1,1,1.1,1.2,1.3,1.5,1.5,1.7,1.9,2.1,2.3,2.4,2.7,3.2,3.5,3.8,4.3,5.3,5.8,6.6,7,7.7,9.1,9.2,9.2,9.6,9,9.1,9.3,9.1,9.5,10.1,10.9
271,4,      Petroleum and coal products,,18,18.5,19.3,20.6,22.3,23.1,23.9,24,25.4,26.5,32.7,55.7,66.5,79.9,95.9,102.3,145.6,194.4,219.4,205.1,187,182,170.7,119.5,130.1,130,144.2,170.6,157.6,148.4,143.4,142.2,150,171.5,175.7
272,4,        Value added,,2.1,2.2,2.8,3.2,3.5,3.6,3.3,3.7,4.1,5,5.8,5.9,6.2,8.2,9.2,9.8,20.7,19.4,20.7,18,19.6,17,20.2,20.7,21.4,29.6,31.5,35,33.8,33.3,38.5,36.6,33.9,36.3,47.5
273,4,          Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,7.9,8.3,8.7,9.1,9.4,9.5,9.7,9.9,10.4,10.6
274,4,          Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.3,1.3,1.5,1.8,1.8,1.8,1.9,1.9,1.7,1.6
275,4,          Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,20.5,21.8,24.8,23,22.1,27.2,24.9,22.1,24.2,35.3
276,4,        Intermediate inputs,,15.9,16.2,16.5,17.4,18.8,19.4,20.6,20.2,21.3,21.5,26.9,49.7,60.3,71.7,86.7,92.5,124.9,175,198.7,187.1,167.4,164.9,150.5,98.8,108.7,100.4,112.8,135.6,123.8,115.1,105,105.6,116.1,135.2,128.2
277,4,          Energy inputs,,0.9,0.8,0.8,0.8,0.9,0.9,0.9,0.8,0.8,0.9,1.2,2.1,2.5,3.1,3.3,3.6,5,6.5,7.2,8,7.5,6,4.6,2.9,2.8,3.1,3.3,3.8,4.3,3.7,2.8,2.5,2.6,2.6,1.8
278,4,          Materials inputs,,13.1,13.4,13.7,14.5,15.6,16.3,17.5,17.5,18.8,19.1,23.6,44.5,53.7,63.8,78.2,83.2,112.7,160.5,183.1,169.7,150.5,151,138.9,90.4,100.6,91.1,102.8,124.1,110.3,103.4,95.9,97.3,106.8,125.2,119.6
279,4,          Purchased-services inputs,,1.9,2,1.9,2.1,2.3,2.2,2.2,1.9,1.7,1.6,2.2,3.2,4,4.8,5.2,5.6,7.2,8.1,8.4,9.3,9.5,8,6.9,5.4,5.2,6.2,6.7,7.7,9.2,8.1,6.3,5.9,6.7,7.4,6.8
280,4,      Chemical products,,31.3,33.6,36.9,40.3,41.6,44.7,46.8,47.5,49.7,55.2,63.1,81.6,87.9,102.1,116.1,125.3,143.3,157.8,173.1,162.6,179.3,199.7,205.2,202.4,241.7,274.4,298,306.6,313.1,323.2,332.5,352.8,380.6,387.7,417.6
281,4,        Value added,,13.6,14.4,15.8,17.2,17.5,19.8,20.6,21.3,22.7,24.8,27.2,30.2,33.6,39.1,43.1,46.5,51.3,54.1,63.4,63.9,71.1,74.6,76.7,79.6,91.6,100.9,110.7,118.8,123.9,130.7,134.4,149.2,158.7,163.5,173.4
282,4,          Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,45.1,48.2,50.6,53.3,56.8,57.5,58.1,58.7,60.7,64.5
283,4,          Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,2.3,2.6,3.2,3.7,3.9,4,4.3,4.1,3.9,4
284,4,          Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,48.9,53.5,59.9,65,66.9,70,72.9,86.7,96,98.9,104.9
285,4,        Intermediate inputs,,17.7,19.2,21.1,23.1,24.1,24.9,26.2,26.3,27,30.4,35.8,51.4,54.3,63,73,78.9,92,103.8,109.6,98.7,108.2,125.1,128.6,122.8,150.1,173.6,187.3,187.8,189.1,192.5,198.1,203.6,221.9,224.2,244.2
286,4,          Energy inputs,,0.7,0.8,0.8,0.8,0.9,1,1.1,1.3,1.4,1.7,2,3.2,3.6,4.3,5,5.6,7.2,8.1,9.2,8.5,9.2,10,9.2,7.6,9.6,9.8,10.2,9.9,9.3,8.7,9.2,9.5,10.3,10.9,12.2
287,4,          Materials inputs,,13.4,14.4,15.9,17.2,17.6,17.9,18.5,18.2,18.4,20.7,24.2,36.4,38,45.7,53.8,56.7,64.6,75.9,78.6,68.6,74.1,86.1,90.7,85.2,108,124.1,132.2,130.9,129.5,130.4,135.7,141,156,157,169.7
288,4,          Purchased-services inputs,,3.6,4,4.4,5,5.5,6,6.5,6.8,7.1,8,9.6,11.8,12.7,13.1,14.2,16.6,20.2,19.8,21.9,21.6,24.9,29,28.7,30,32.6,39.6,44.9,47,50.3,53.4,53.2,53.1,55.6,56.3,62.3
289,4,      Plastics and rubber products,,9.1,9.7,10.8,12,12.7,14.3,15.8,15.8,17.5,20.8,24.4,28.4,28,32.8,40.6,44.3,48.3,49.1,54.8,56.6,62,71.7,74.1,76.7,88.6,97.7,103.9,107.9,107.6,114.6,123.2,135.3,146,150.4,159
290,4,        Value added,,4.8,5.2,5.7,6.5,6.7,7.9,8.6,8.2,9.2,10.6,12,12.1,12.1,13.6,16.6,18,19.8,19.7,22.6,22.8,25.9,28.4,30.1,31.5,32.9,34.9,39,38.8,41,43.5,47.1,50.6,51.4,54.6,57.6
291,4,          Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,23,24.4,25.5,25.9,27.8,29.5,31.3,32.5,32.6,34.7
292,4,          Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.8,0.8,0.8,0.9,0.9,1,1.1,1.1,1.1,1.2
293,4,          Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,11.1,13.8,12.5,14.2,14.7,16.6,18.2,17.8,20.9,21.7
294,4,        Intermediate inputs,,4.3,4.5,5.1,5.5,6,6.5,7.2,7.6,8.3,10.3,12.5,16.3,15.9,19.2,24,26.3,28.4,29.4,32.2,33.8,36.1,43.3,44,45.1,55.7,62.8,64.8,69.1,66.7,71.2,76.1,84.7,94.6,95.8,101.4
295,4,          Energy inputs,,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.7,0.7,0.9,1.1,1.3,1.6,1.6,2,2.2,2.4,2.8,2.5,2.3,2.8,2.9,2.9,3,2.8,2.9,2.9,3,3.1,3.1,3.4
296,4,          Materials inputs,,3.6,3.8,4.3,4.6,4.9,5.2,5.7,5.9,6.3,7.9,9.6,12.9,12.4,15.5,19.6,21,22,23.5,25.1,25.7,26.9,32,33.1,33.7,42.5,48.4,50,53.4,51.5,55.1,59.3,66.4,74.8,75.3,78.7
297,4,          Purchased-services inputs,,0.6,0.6,0.7,0.8,1,1.1,1.3,1.4,1.6,2,2.4,2.7,2.7,2.8,3.3,4,4.8,4.3,5.1,5.9,6.8,8.4,8.4,9.2,10.3,11.5,11.9,12.7,12.3,13.2,13.9,15.3,16.6,17.3,19.4
298,2,  Wholesale trade,,47.6,52.4,60.7,67.3,69.7,73.7,78.5,83.7,90.5,100.3,110.6,128.7,136.1,164.3,189.9,207.4,236.1,288.2,308.2,288,288.8,334.2,363.8,378.9,412,455.1,479.4,509.9,516.2,537.8,580.3,635.5,690.8,711.9,747.2
299,2,    Value added,,39.8,43,46.4,50.9,53.9,59.1,63.8,67.7,73.4,81.6,91.8,104.3,114,122.3,134.4,152.6,175,187,206.9,207.6,223.5,251,271,280.2,286.2,314.9,336.4,347.8,362.5,380.4,403.5,444.6,462.2,495.1,527.5
300,2,      Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,154.9,170.1,182.9,191,194.9,207,211.2,223.8,238.2,252.3,266.1
301,2,      Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,68.3,76.6,80.5,84.6,93.1,96.5,102.6,116.6,115.2,119.7,123
302,2,      Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,63,68.2,73,72.2,74.5,76.8,89.6,104.2,108.8,123.1,138.4
303,2,    Intermediate inputs,,7.8,9.5,14.3,16.4,15.8,14.6,14.7,16.1,17.1,18.6,18.8,24.4,22.1,42,55.4,54.8,61.1,101.3,101.3,80.4,65.4,83.2,92.8,98.7,125.9,140.2,142.9,162.1,153.7,157.4,176.9,190.9,228.6,216.8,219.6
304,2,      Energy inputs,,0.4,0.4,0.5,0.6,0.5,0.5,0.5,0.6,0.6,0.7,0.8,1.4,1.3,2.6,3.5,3.4,4.4,8.5,9.1,7,5.1,5.7,5.7,4.7,5.8,5.9,6.1,7,6.4,6.3,6.5,6.4,7.2,6.4,6.1
305,2,      Materials inputs,,2.1,2.4,3.7,4.2,3.9,3.4,3.3,3.4,3.4,3.8,3.8,5,4,8.4,11.3,10.9,11.7,21.7,20.3,15.3,11.7,14.7,16.4,16.9,22.9,26.6,27.8,32.1,31.9,34.4,36.2,36.8,42.9,37.1,33.5
306,2,      Purchased-services inputs,,5.3,6.6,10.1,11.7,11.4,10.7,10.9,12.1,13,14.2,14.2,18,16.7,31,40.7,40.5,44.9,71.1,71.9,58.1,48.6,62.8,70.6,77.1,97.2,107.6,109.1,122.9,115.4,116.7,134.1,147.6,178.6,173.4,180
307,2,  Retail trade,,81.2,85.3,91.6,97,99.2,106,112,118.3,126.6,138.2,148.8,168.2,166.7,203.6,228.7,245.7,262,326.1,340.4,338.4,361.6,388.8,440,458.1,514.3,536.2,566.6,589.1,596.8,629.9,679.4,741.1,786.2,824.4,857.3
308,2,    Value added,,47.6,52.4,56.1,60.5,64.8,71.6,77.6,83,90.8,98.4,108.4,114,127.8,144.6,159.4,178.2,193.9,199.2,218.9,227.9,256.4,287.8,310.8,332,346.1,367.2,391.2,399.9,407.2,426.2,461.9,498.8,522.3,550.2,579.9
309,2,      Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,209.6,222.5,234.6,242.6,247.5,259.7,272,292,307.8,321.5,339
310,2,      Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,64.6,66.9,70.9,73.9,76.5,82.6,86.4,93.6,98.4,101.9,106.2
311,2,      Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,71.9,77.8,85.6,83.4,83.2,83.8,103.5,113.2,116.1,126.8,134.7
312,2,    Intermediate inputs,,33.6,33,35.6,36.6,34.4,34.4,34.4,35.3,35.8,39.8,40.5,54.3,38.9,59,69.3,67.5,68,126.9,121.4,110.6,105.2,101,129.1,126.1,168.3,168.9,175.4,189.2,189.6,203.8,217.5,242.3,263.9,274.2,277.4
313,2,      Energy inputs,,4.4,4.1,4.3,4.3,4,3.9,3.8,4.1,4.2,4.7,4.5,7,5,7.6,8.9,8.2,9.4,19.1,18.7,16.1,14,12,13.9,10.8,14.9,13.8,14.2,15.6,15.2,15.7,16.4,17.6,18.5,18.6,18.1
314,2,      Materials inputs,,9.1,8.8,9.6,9.5,8.3,8,7.6,7.2,7.2,7.8,7.5,10.1,6.2,10,11.7,11.1,10.9,22.8,20.5,17.8,15.7,14.4,18.2,17.2,24.6,25.5,27.3,28.6,30.5,34.8,35.6,38.2,41.8,39.7,38.3
315,2,      Purchased-services inputs,,20.1,20.1,21.7,22.8,22.1,22.5,23,24,24.5,27.4,28.5,37.2,27.7,41.4,48.8,48.2,47.8,85,82.1,76.6,75.6,74.6,96.9,98.2,128.7,129.7,134,144.9,143.9,153.3,165.4,186.5,203.7,215.8,221
316,3,    Motor vehicle and parts dealers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,3,      Value added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,3,        Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,3,        Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,3,        Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,3,      Intermediate inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,3,        Energy inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,3,        Materials inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,3,        Purchased-services inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,3,    Food and beverage stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,3,      Value added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,3,        Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,3,        Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,3,        Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,3,      Intermediate inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,3,        Energy inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,3,        Materials inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,3,        Purchased-services inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,3,    General merchandise stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,3,      Value added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,3,        Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,3,        Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,3,        Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,3,      Intermediate inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,3,        Energy inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,3,        Materials inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,3,        Purchased-services inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,3,    Other retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,3,      Value added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
